feature,labels
0,3
1,2
2,0
3,2
4,1
5,3
6,0
7,2
8,3
9,2
10,0
11,3
12,3
13,0
14,0
15,3
16,2
17,0
18,3
19,4
20,1
21,2
22,1
23,2
24,1
25,2
26,1
27,0
28,0
29,4
30,4
31,1
32,4
33,3
34,2
35,3
36,3
37,3
38,3
39,1
40,0
41,2
42,3
43,3
44,4
45,3
46,2
47,3
48,3
49,3
50,2
51,3
52,3
53,3
54,3
55,3
56,3
57,3
58,2
59,3
60,3
61,3
62,0
63,2
64,2
65,3
66,1
67,3
68,4
69,2
70,0
71,4
72,2
73,3
74,0
75,4
76,1
77,2
78,0
79,3
80,1
81,2
82,0
83,3
84,0
85,4
86,4
87,2
88,1
89,0
90,3
91,1
92,2
93,3
94,2
95,4
96,1
97,0
98,4
99,0
100,1
101,0
102,2
103,3
104,0
105,4
106,2
107,1
108,4
109,2
110,2
111,1
112,2
113,3
114,3
115,1
116,2
117,2
118,3
119,2
120,3
121,3
122,0
123,3
124,4
125,1
126,0
127,0
128,0
129,2
130,0
131,1
132,3
133,0
134,3
135,2
136,3
137,1
138,0
139,2
140,3
141,1
142,3
143,2
144,2
145,3
146,2
147,2
148,2
149,3
150,4
151,2
152,1
153,4
154,0
155,2
156,2
157,4
158,3
159,2
160,4
161,1
162,3
163,3
164,0
165,3
166,4
167,0
168,1
169,2
170,3
171,3
172,1
173,2
174,4
175,0
176,1
177,4
178,3
179,4
180,0
181,2
182,3
183,3
184,2
185,1
186,2
187,2
188,1
189,4
190,1
191,2
192,1
193,4
194,3
195,4
196,3
197,2
198,4
199,2
200,3
201,0
202,0
203,2
204,4
205,3
206,3
207,0
208,3
209,3
210,3
211,3
212,3
213,3
214,1
215,0
216,4
217,2
218,3
219,2
220,2
221,1
222,1
223,0
224,4
225,3
226,2
227,0
228,2
229,1
230,2
231,0
232,0
233,1
234,4
235,4
236,3
237,2
238,4
239,3
240,3
241,1
242,2
243,3
244,0
245,2
246,3
247,2
248,0
249,3
250,2
251,1
252,3
253,0
254,0
255,2
256,4
257,2
258,2
259,3
260,3
261,1
262,3
263,3
264,3
265,1
266,0
267,1
268,1
269,3
270,0
271,0
272,1
273,3
274,4
275,1
276,2
277,2
278,3
279,1
280,4
281,3
282,3
283,4
284,0
285,4
286,1
287,0
288,0
289,0
290,2
291,1
292,4
293,4
294,4
295,3
296,2
297,2
298,2
299,0
300,4
301,2
302,0
303,2
304,2
305,0
306,4
307,0
308,0
309,4
310,1
311,4
312,2
313,0
314,0
315,0
316,2
317,3
318,3
319,1
320,0
321,3
322,0
323,3
324,2
325,0
326,0
327,2
328,4
329,4
330,2
331,0
332,4
333,0
334,1
335,2
336,2
337,1
338,3
339,2
340,2
341,2
342,0
343,1
344,3
345,3
346,2
347,4
348,0
349,2
350,2
351,2
352,1
353,0
354,4
355,0
356,0
357,0
358,2
359,3
360,4
361,1
362,2
363,1
364,1
365,3
366,1
367,3
368,1
369,2
370,1
371,0
372,2
373,1
374,4
375,1
376,2
377,1
378,4
379,1
380,2
381,2
382,2
383,0
384,3
385,2
386,2
387,1
388,2
389,0
390,3
391,3
392,2
393,0
394,2
395,1
396,0
397,2
398,4
399,3
400,2
401,1
402,4
403,1
404,2
405,2
406,0
407,0
408,4
409,3
410,4
411,2
412,2
413,4
414,2
415,2
416,4
417,0
418,4
419,3
420,4
421,3
422,3
423,3
424,4
425,3
426,2
427,0
428,3
429,3
430,0
431,1
432,2
433,2
434,1
435,3
436,2
437,0
438,0
439,3
440,1
441,1
442,3
443,1
444,3
445,3
446,4
447,3
448,2
449,1
450,4
451,3
452,0
453,2
454,0
455,1
456,1
457,1
458,3
459,4
460,4
461,4
462,3
463,2
464,4
465,3
466,0
467,1
468,3
469,0
470,2
471,4
472,1
473,1
474,2
475,0
476,4
477,2
478,0
479,2
480,4
481,2
482,3
483,1
484,3
485,0
486,2
487,3
488,3
489,4
490,1
491,3
492,2
493,1
494,2
495,3
496,3
497,3
498,2
499,3
500,4
501,1
