feature,labels
0,0
1,1
2,0
3,1
4,0
5,1
6,0
7,1
8,1
9,1
10,0
11,1
12,0
13,0
14,0
15,1
16,0
17,0
18,1
19,0
20,0
21,1
22,0
23,1
24,0
25,1
26,0
27,0
28,0
29,0
30,1
31,0
32,0
33,1
34,0
35,0
36,0
37,1
38,0
39,1
40,0
41,1
42,1
43,1
44,1
45,1
46,1
47,0
48,1
49,1
50,0
51,1
52,1
53,1
54,0
55,0
56,1
57,1
58,1
59,1
60,0
61,0
62,0
63,1
64,1
65,0
66,0
67,1
68,1
69,1
70,0
71,0
72,1
73,0
74,0
75,0
76,0
77,1
78,0
79,0
80,0
81,1
82,0
83,1
84,0
85,0
86,0
87,1
88,0
89,0
90,0
91,0
92,1
93,1
94,1
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,1
103,1
104,0
105,0
106,1
107,0
108,0
109,1
110,1
111,1
112,1
113,1
114,1
115,0
116,1
117,1
118,1
119,1
120,1
121,1
122,0
123,1
124,0
125,0
126,0
127,0
128,0
129,1
130,0
131,0
132,1
133,0
134,0
135,1
136,0
137,0
138,0
139,1
140,1
141,0
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,0
151,1
152,0
153,0
154,0
155,1
156,1
157,1
158,1
159,1
160,0
161,1
162,0
163,1
164,0
165,1
166,0
167,0
168,0
169,1
170,1
171,0
172,1
173,1
174,1
175,0
176,0
177,0
178,1
179,0
180,0
181,1
182,0
183,1
184,1
185,1
186,1
187,1
188,0
189,0
190,0
191,1
192,0
193,1
194,1
195,1
196,1
197,1
198,0
199,0
200,0
201,0
202,0
203,1
204,0
205,1
206,1
207,0
208,0
209,1
210,0
211,1
212,1
213,0
214,0
215,0
216,0
217,1
218,1
219,1
220,1
221,0
222,0
223,0
224,0
225,1
226,1
227,1
228,1
229,0
230,1
231,0
232,0
233,0
234,0
235,0
236,0
237,1
238,0
239,0
240,0
241,0
242,1
243,1
244,0
245,1
246,1
247,1
248,1
249,0
250,0
251,0
252,1
253,0
254,1
255,1
256,1
257,1
258,1
259,0
260,1
261,0
262,0
263,0
264,1
265,0
266,0
267,0
268,0
269,1
270,0
271,0
272,1
273,1
274,0
275,0
276,1
277,1
278,1
279,0
280,0
281,0
282,0
283,1
284,0
285,1
286,0
287,1
288,0
289,0
290,1
291,0
292,0
293,0
294,0
295,1
296,1
297,1
298,1
299,0
300,0
301,1
302,0
303,1
304,0
305,0
306,0
307,0
308,0
309,1
310,1
311,0
312,1
313,0
314,0
315,0
316,1
317,1
318,0
319,1
320,0
321,1
322,0
323,1
324,1
325,0
326,0
327,1
328,0
329,1
330,1
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,1
339,1
340,1
341,1
342,0
343,0
344,1
345,0
346,1
347,1
348,0
349,1
350,1
351,1
352,0
353,0
354,0
355,0
356,1
357,0
358,1
359,0
360,1
361,0
362,0
363,0
364,0
365,0
366,0
367,1
368,0
369,1
370,1
371,0
372,1
373,0
374,0
375,0
376,1
377,0
378,0
379,0
380,1
381,1
382,1
383,0
384,1
385,1
386,1
387,0
388,1
389,0
390,0
391,1
392,1
393,0
394,1
395,0
396,0
397,1
398,0
399,0
400,1
401,0
402,0
403,0
404,1
405,1
406,0
407,0
408,0
409,1
410,0
411,1
412,1
413,1
414,1
415,1
416,0
417,0
418,0
419,1
420,0
421,1
422,1
423,0
424,0
425,1
426,0
427,0
428,0
429,1
430,0
431,0
432,1
433,1
434,0
435,0
436,1
437,0
438,0
439,1
440,1
441,0
442,1
443,0
444,1
445,1
446,0
447,1
448,1
449,1
450,0
451,1
452,0
453,1
454,0
455,0
456,1
457,1
458,1
459,0
460,0
461,0
462,1
463,1
464,0
465,1
466,0
467,0
468,1
469,0
470,1
471,0
472,0
473,1
474,1
475,0
476,0
477,1
478,0
479,1
480,0
481,1
482,1
483,1
484,0
485,0
486,1
487,1
488,1
489,0
490,0
491,1
492,1
493,0
494,1
495,1
496,1
497,1
498,1
499,1
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,1
508,0
509,0
510,1
511,1
512,0
513,1
514,1
515,0
516,1
517,1
518,1
519,0
520,1
521,1
522,0
523,1
524,0
525,1
526,1
527,1
528,0
529,0
530,0
531,0
532,1
533,0
534,1
535,1
536,1
537,0
538,1
539,1
540,1
541,1
542,0
543,0
544,0
545,1
546,0
547,1
548,1
549,1
550,1
551,0
552,1
553,1
554,0
555,0
556,1
557,1
558,1
559,1
560,1
561,0
562,0
563,0
564,0
565,1
566,1
567,1
568,0
569,1
570,1
571,1
572,0
573,0
574,1
575,0
576,1
577,0
578,1
579,0
580,0
581,1
582,0
583,0
584,0
585,1
586,0
587,0
588,0
589,1
590,0
591,0
592,0
593,1
594,0
595,1
596,1
597,1
598,1
599,0
600,0
601,0
602,1
603,1
604,1
605,0
606,1
607,0
608,1
609,1
610,0
611,1
612,1
613,0
614,0
615,1
616,1
617,0
618,0
619,1
620,1
621,1
622,0
623,1
624,0
625,0
626,0
627,1
628,0
629,0
630,0
631,0
632,0
633,0
634,1
635,1
636,0
637,0
638,1
639,1
640,0
641,1
642,0
643,1
644,0
645,1
646,0
647,0
648,1
649,0
650,0
651,0
652,1
653,1
654,0
655,1
656,0
657,0
658,0
659,0
660,1
661,1
662,0
663,1
664,1
665,1
666,1
667,1
668,0
669,0
670,1
671,0
672,1
673,1
674,0
675,1
676,0
677,1
678,0
679,0
680,1
681,0
682,0
683,0
684,1
685,1
686,1
687,1
688,1
689,1
690,1
691,0
692,0
693,0
694,1
695,0
696,0
697,0
698,0
699,0
700,0
701,1
702,0
703,0
704,0
705,1
706,0
707,1
708,1
709,0
710,0
711,1
712,0
713,1
714,1
715,1
716,1
717,0
718,0
719,1
720,1
721,0
722,1
723,1
724,0
725,1
726,0
727,0
728,1
729,0
730,0
731,1
732,0
733,0
734,1
735,0
736,1
737,0
738,1
739,1
740,1
741,1
742,1
743,1
744,0
745,0
746,0
747,1
748,0
749,1
750,1
751,1
752,1
753,0
754,1
755,1
756,0
757,1
758,0
759,1
760,0
761,1
762,1
763,0
764,1
765,0
766,0
767,0
768,1
769,0
770,1
771,0
772,0
773,1
774,0
775,0
776,0
777,1
778,1
779,0
780,1
781,1
782,1
783,1
784,0
785,1
786,0
787,1
788,1
789,0
790,0
791,0
792,0
793,0
794,0
795,1
796,1
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,1
807,0
808,0
809,0
810,0
811,1
812,1
813,0
814,1
815,0
816,0
817,0
818,1
819,1
820,0
821,1
822,1
823,1
824,1
825,0
826,1
827,0
828,1
829,0
830,0
831,1
832,1
833,0
834,1
835,0
836,0
837,0
838,0
839,0
840,1
841,0
842,1
843,0
844,1
845,1
846,0
847,0
848,1
849,0
850,1
851,0
852,0
853,1
854,1
855,1
856,1
857,1
858,0
859,1
860,1
861,1
862,1
863,0
864,1
865,1
866,1
867,1
868,0
869,0
870,0
871,0
872,0
873,1
874,1
875,1
876,0
877,1
878,1
879,0
880,1
881,0
882,0
883,1
884,1
885,1
886,1
887,0
888,1
889,0
890,1
891,1
892,1
893,0
894,0
895,1
896,0
897,0
898,0
899,1
900,1
901,1
902,0
903,0
904,1
905,0
906,0
907,1
908,0
909,1
910,1
911,1
912,0
913,0
914,1
915,1
916,0
917,0
918,0
919,0
920,0
921,1
922,0
923,1
924,1
925,0
926,1
927,1
928,1
929,0
930,0
931,1
932,1
933,0
934,1
935,0
936,1
937,0
938,0
939,0
940,1
941,1
942,0
943,1
944,1
945,1
946,0
947,1
948,1
949,0
950,0
951,0
952,0
953,0
954,0
955,1
956,0
957,0
958,0
959,1
960,1
961,1
962,1
963,0
964,0
965,1
966,0
967,0
968,0
969,0
970,0
971,0
972,1
973,1
974,0
975,0
976,0
977,0
978,0
979,0
980,1
981,1
982,0
983,1
984,1
985,0
986,1
987,0
988,1
989,1
990,0
991,1
992,1
993,0
994,1
995,1
996,0
997,0
998,0
999,1
1000,0
1001,0
1002,1
1003,1
1004,1
1005,1
1006,1
1007,1
1008,0
1009,0
1010,0
1011,1
1012,1
1013,0
1014,0
1015,1
1016,1
1017,1
1018,0
1019,0
1020,1
1021,1
1022,0
1023,1
